"sg_uf","age_clas","N.srag","N.covid"
"MT","90+",215,180
"PA","0-4",982,277
"PA","10-14",272,101
"PA","15-19",380,189
"PA","20-24",639,408
"PA","25-29",1090,804
"PA","30-34",1585,1250
"PA","35-39",2325,1886
"PA","40-44",2585,2131
"PA","45-49",2657,2164
"PA","5-9",437,123
"PA","50-54",2808,2279
"PA","55-59",3098,2602
"PA","60-64",3025,2469
"PA","65-69",3011,2425
"PA","70-74",2683,2118
"PA","75-79",2095,1646
"PA","80-84",1572,1220
"PA","85-89",901,700
"PA","90+",614,434
"PB","0-4",1409,82
"PB","10-14",276,42
"PB","15-19",304,102
"PB","20-24",473,214
"PB","25-29",823,496
"PB","30-34",1217,904
"PB","35-39",1638,1307
"PB","40-44",1870,1515
"PB","45-49",1804,1464
"PB","5-9",539,35
"PB","50-54",2052,1683
"PB","55-59",2112,1748
"PB","60-64",1730,1357
"PB","65-69",1656,1237
"PB","70-74",1599,1180
"PB","75-79",1460,1029
"PB","80-84",1347,891
"PB","85-89",864,569
"PB","90+",657,404
"PE","0-4",2720,184
"PE","10-14",456,56
"PE","15-19",293,72
"PE","20-24",523,147
"PE","25-29",889,397
"PE","30-34",1566,755
"PE","35-39",2125,1088
"PE","40-44",2786,1446
"PE","45-49",3085,1593
"PE","5-9",1174,86
"PE","50-54",3492,1788
"PE","55-59",4109,2107
"PE","60-64",3706,1766
"PE","65-69",3384,1650
"PE","70-74",3232,1439
"PE","75-79",2900,1242
"PE","80-84",2546,976
"PE","85-89",1469,559
"PE","90+",1162,413
"PI","0-4",408,72
"PI","10-14",114,43
"PI","15-19",89,53
"PI","20-24",182,126
"PI","25-29",365,295
"PI","30-34",636,536
"PI","35-39",910,782
"PI","40-44",1012,863
"PI","45-49",1037,920
"PI","5-9",178,31
"PI","50-54",1151,992
"PI","55-59",1329,1162
"PI","60-64",1325,1144
"PI","65-69",1186,994
"PI","70-74",1161,963
"PI","75-79",994,813
"PI","80-84",864,692
"PI","85-89",547,421
"PI","90+",374,281
"PR","0-4",4490,351
"PR","10-14",1035,225
"PR","15-19",1016,478
"PR","20-24",2119,1288
"PR","25-29",3720,2714
"PR","30-34",5676,4448
"PR","35-39",7767,6201
"PR","40-44",9252,7417
"PR","45-49",10225,8183
"PR","5-9",1823,199
"PR","50-54",11706,9351
"PR","55-59",12774,10075
"PR","60-64",10700,7912
"PR","65-69",10252,7210
"PR","70-74",9319,6286
"PR","75-79",7715,4786
"PR","80-84",5747,3311
"PR","85-89",3755,2023
"PR","90+",2331,1190
"RJ","0-4",5866,694
"RJ","10-14",1196,287
"RJ","15-19",805,396
"RJ","20-24",1541,935
"RJ","25-29",2687,1898
"RJ","30-34",4073,3160
"RJ","35-39",6162,4949
"RJ","40-44",7983,6471
"RJ","45-49",8816,7255
"RJ","5-9",2576,394
"RJ","50-54",9886,8065
"RJ","55-59",11932,9701
"RJ","60-64",11422,9010
"RJ","65-69",12123,9631
"RJ","70-74",11141,8714
"RJ","75-79",8456,6494
"RJ","80-84",6748,5018
"RJ","85-89",5128,3837
"RJ","90+",3686,2672
"RN","0-4",645,60
"RN","10-14",116,18
"RN","15-19",66,39
"RN","20-24",196,137
"RN","25-29",396,315
"RN","30-34",703,602
"RN","35-39",988,868
"RN","40-44",1220,1081
"RN","45-49",1144,966
"RN","5-9",269,34
"RN","50-54",1306,1116
"RN","55-59",1550,1322
"RN","60-64",1284,1017
"RN","65-69",1165,921
"RN","70-74",1181,913
"RN","75-79",929,726
"RN","80-84",829,588
"RN","85-89",527,358
"RN","90+",466,302
"RO","0-4",132,43
"RO","10-14",46,23
"RO","15-19",116,48
"RO","20-24",240,126
"RO","25-29",433,305
"RO","30-34",570,442
"RO","35-39",817,647
"RO","40-44",994,798
"RO","45-49",1057,869
"RO","5-9",41,27
"RO","50-54",1203,972
"RO","55-59",1301,1047
"RO","60-64",1192,960
"RO","65-69",1054,858
"RO","70-74",929,750
"RO","75-79",610,452
"RO","80-84",378,283
"RO","85-89",270,193
"RO","90+",143,104
"RR","0-4",26,6
"RR","10-14",9,2
"RR","15-19",24,16
"RR","20-24",56,44
"RR","25-29",120,112
"RR","30-34",137,130
"RR","35-39",230,207
"RR","40-44",318,291
"RR","45-49",272,254
"RR","5-9",6,2
"RR","50-54",283,265
"RR","55-59",301,271
"RR","60-64",277,253
"RR","65-69",256,222
"RR","70-74",227,198
"RR","75-79",143,116
"RR","80-84",98,73
"RR","85-89",63,49
"RR","90+",48,35
"RS","0-4",2781,256
"RS","10-14",404,96
"RS","15-19",505,300
"RS","20-24",1230,939
"RS","25-29",2357,2024
"RS","30-34",3711,3327
"RS","35-39",5420,4930
"RS","40-44",6689,6111
"RS","45-49",7345,6772
"RS","5-9",1139,124
"RS","50-54",8689,7841
"RS","55-59",9856,8794
"RS","60-64",9184,7831
"RS","65-69",8999,7531
"RS","70-74",8386,6714
"RS","75-79",6517,5063
"RS","80-84",5028,3662
"RS","85-89",3464,2420
"RS","90+",2274,1515
"SC","0-4",2390,215
"SC","10-14",461,96
"SC","15-19",357,226
"SC","20-24",892,668
"SC","25-29",1774,1509
"SC","30-34",2763,2500
"SC","35-39",3942,3621
"SC","40-44",4928,4521
"SC","45-49",5303,4861
"SC","5-9",926,111
"SC","50-54",5773,5242
"SC","55-59",6393,5726
"SC","60-64",5751,5013
"SC","65-69",5244,4449
"SC","70-74",4593,3837
"SC","75-79",3599,2896
"SC","80-84",2508,1910
"SC","85-89",1570,1151
"SC","90+",941,644
"SE","0-4",1011,241
"SE","10-14",154,49
"SE","15-19",153,71
"SE","20-24",239,120
"SE","25-29",366,237
"SE","30-34",676,480
"SE","35-39",897,665
"SE","40-44",1105,831
"SE","45-49",1197,885
"SE","5-9",434,98
"SE","50-54",1316,1004
"SE","55-59",1412,1088
"SE","60-64",1278,927
"SE","65-69",1165,840
"SE","70-74",1054,730
"SE","75-79",864,545
"SE","80-84",705,423
"SE","85-89",453,266
"SE","90+",331,194
"SP","0-4",20405,1725
"SP","10-14",3728,712
"SP","15-19",2505,1176
"SP","20-24",5874,3788
"SP","25-29",11087,8525
"SP","30-34",18723,15364
"SP","35-39",27588,23338
"SP","40-44",33282,28513
"SP","45-49",35734,30546
"SP","5-9",8893,862
"SP","50-54",39595,33498
"SP","55-59",44740,37544
"SP","60-64",40168,32299
"SP","65-69",36852,28739
"SP","70-74",32158,24152
"SP","75-79",25510,18248
"SP","80-84",19763,13052
