"sg_uf","age_clas","N.srag.cases","N.covid.cases","N.srag.deaths","N.covid.deaths"
"MG","0-4",5732,657,73,34
"MG","10-14",1112,224,35,17
"MG","15-19",981,431,59,38
"MG","20-24",2324,1341,180,138
"MG","25-29",4184,2890,417,351
"MG","30-34",6911,5143,737,657
"MG","35-39",10093,7827,1337,1223
"MG","40-44",12507,9785,1887,1716
"MG","45-49",13677,10618,2436,2213
"MG","5-9",2692,303,34,17
"MG","50-54",16546,12827,3333,2992
"MG","55-59",19147,14695,4707,4297
"MG","60-64",17371,12716,5127,4554
"MG","65-69",16514,11772,5505,4856
"MG","70-74",15249,10535,5539,4769
"MG","75-79",13103,8595,4993,4247
"MG","80-84",11258,6951,4550,3764
"MG","85-89",8023,4612,3348,2688
"MG","90+",5681,2990,2543,1898
"MS","0-4",1285,108,19,4
"MS","15-19",236,83,10,6
"MS","20-24",489,285,32,24
"MS","25-29",992,727,97,85
"MS","30-34",1431,1109,157,148
"MS","35-39",2074,1693,320,285
"MS","40-44",2406,2023,409,377
"MS","45-49",2502,2083,564,525
"MS","5-9",459,42,19,4
"MS","50-54",2741,2287,666,617
"MS","55-59",2870,2315,853,780
"MS","60-64",2401,1913,819,759
"MS","65-69",2211,1705,823,760
"MS","70-74",1976,1469,854,768
"MS","75-79",1539,1052,695,603
"MS","80-84",1213,792,570,469
"MS","85-89",801,495,396,332
"MS","90+",504,271,264,196
"MT","0-4",322,142,5,3
"MT","10-14",106,69,2,1
"MT","15-19",141,92,9,9
"MT","20-24",392,304,19,19
"MT","25-29",730,617,75,74
"MT","30-34",1247,1101,157,153
"MT","35-39",1768,1583,226,223
"MT","40-44",1902,1684,328,324
"MT","45-49",2080,1858,392,392
"MT","5-9",146,85,4,3
"MT","50-54",2155,1903,481,475
"MT","55-59",2173,1940,576,567
"MT","60-64",1840,1625,592,581
"MT","65-69",1614,1470,618,608
"MT","70-74",1383,1207,536,526
"MT","75-79",1010,882,437,428
"MT","80-84",724,613,333,318
"MT","85-89",421,346,204,195
"MT","90+",215,180,127,123
"PA","0-4",982,277,34,17
"PA","10-14",272,101,12,10
"PA","15-19",380,189,30,20
"PA","20-24",639,408,37,28
"PA","25-29",1090,804,104,89
"PA","30-34",1585,1250,204,181
"PA","35-39",2325,1886,318,283
"PA","40-44",2585,2131,411,380
"PA","45-49",2657,2164,534,491
"PA","5-9",437,123,19,4
"PA","50-54",2808,2279,703,661
"PA","55-59",3098,2602,924,863
"PA","60-64",3025,2469,1073,996
"PA","65-69",3011,2425,1264,1174
"PA","70-74",2683,2118,1251,1170
"PA","75-79",2095,1646,1037,947
"PA","80-84",1572,1220,815,740
"PA","85-89",901,700,500,444
"PA","90+",614,434,357,302
"PB","0-4",1409,82,35,4
"PB","10-14",276,42,11,3
"PB","15-19",304,102,14,7
"PB","20-24",473,214,50,29
"PB","25-29",823,496,87,74
"PB","30-34",1217,904,179,156
"PB","35-39",1638,1307,264,233
"PB","40-44",1870,1515,390,344
"PB","45-49",1804,1464,440,387
"PB","5-9",539,35,8,2
"PB","50-54",2052,1683,513,451
"PB","55-59",2112,1748,614,550
"PB","60-64",1730,1357,562,474
"PB","65-69",1656,1237,614,514
"PB","70-74",1599,1180,658,537
"PB","75-79",1460,1029,614,506
"PB","80-84",1347,891,589,473
"PB","85-89",864,569,415,325
"PB","90+",657,404,367,240
"PE","0-4",2720,184,75,28
"PE","10-14",456,56,18,9
"PE","15-19",293,72,28,13
"PE","20-24",523,147,42,22
"PE","25-29",889,397,111,79
"PE","30-34",1566,755,192,134
"PE","35-39",2125,1088,292,221
"PE","40-44",2786,1446,429,307
"PE","45-49",3085,1593,535,411
"PE","5-9",1174,86,28,8
"PE","50-54",3492,1788,684,557
"PE","55-59",4109,2107,918,733
"PE","60-64",3706,1766,950,717
"PE","65-69",3384,1650,1075,812
"PE","70-74",3232,1439,1031,744
"PE","75-79",2900,1242,1003,731
"PE","80-84",2546,976,808,545
"PE","85-89",1469,559,574,383
"PE","90+",1162,413,503,309
"PI","0-4",408,72,14,7
"PI","10-14",114,43,5,4
"PI","15-19",89,53,5,3
"PI","20-24",182,126,16,12
"PI","25-29",365,295,37,35
"PI","30-34",636,536,79,70
"PI","35-39",910,782,105,98
"PI","40-44",1012,863,152,143
"PI","45-49",1037,920,188,182
"PI","50-54",1151,992,237,220
"PI","55-59",1329,1162,285,268
"PI","60-64",1325,1144,386,363
"PI","65-69",1186,994,365,340
"PI","70-74",1161,963,425,397
"PI","75-79",994,813,380,346
"PI","80-84",864,692,358,325
"PI","85-89",547,421,247,228
"PI","90+",374,281,160,146
"PR","0-4",4490,351,39,13
"PR","10-14",1035,225,27,20
"PR","15-19",1016,478,45,39
"PR","20-24",2119,1288,163,138
"PR","25-29",3720,2714,313,294
"PR","30-34",5676,4448,565,528
"PR","35-39",7767,6201,940,892
"PR","40-44",9252,7417,1373,1301
"PR","45-49",10225,8183,1849,1746
"PR","5-9",1823,199,25,9
"PR","50-54",11706,9351,2477,2352
"PR","55-59",12774,10075,3144,2950
"PR","60-64",10700,7912,3031,2778
"PR","65-69",10252,7210,3171,2905
"PR","70-74",9319,6286,3072,2766
"PR","75-79",7715,4786,2711,2374
"PR","80-84",5747,3311,2099,1798
"PR","85-89",3755,2023,1369,1147
"PR","90+",2331,1190,929,756
"RJ","0-4",5866,694,73,26
"RJ","10-14",1196,287,27,17
"RJ","15-19",805,396,68,52
"RJ","20-24",1541,935,176,155
"RJ","25-29",2687,1898,373,324
"RJ","30-34",4073,3160,614,563
"RJ","35-39",6162,4949,1054,973
"RJ","40-44",7983,6471,1570,1465
"RJ","45-49",8816,7255,1965,1853
"RJ","5-9",2576,394,24,14
"RJ","50-54",9886,8065,2549,2389
"RJ","55-59",11932,9701,3557,3342
"RJ","60-64",11422,9010,3954,3623
"RJ","65-69",12123,9631,4858,4483
"RJ","70-74",11141,8714,4686,4304
"RJ","75-79",8456,6494,3902,3539
"RJ","80-84",6748,5018,3226,2877
"RJ","85-89",5128,3837,2735,2427
"RJ","90+",3686,2672,2122,1843
"RN","0-4",645,60,12,2
"RN","10-14",116,18,2,1
"RN","15-19",66,39,6,4
"RN","20-24",196,137,40,31
"RN","25-29",396,315,56,48
"RN","30-34",703,602,125,111
"RN","35-39",988,868,178,160
"RN","40-44",1220,1081,225,202
"RN","45-49",1144,966,274,252
"RN","5-9",269,34,10,5
"RN","50-54",1306,1116,322,287
"RN","55-59",1550,1322,478,425
"RN","60-64",1284,1017,418,367
"RN","65-69",1165,921,447,386
"RN","70-74",1181,913,497,427
"RN","75-79",929,726,438,371
"RN","80-84",829,588,407,320
"RN","85-89",527,358,279,206
"RN","90+",466,302,283,200
"RO","0-4",132,43,6,2
"RO","10-14",46,23,2,2
"RO","15-19",116,48,9,8
"RO","20-24",240,126,26,23
"RO","25-29",433,305,63,60
"RO","30-34",570,442,90,88
"RO","35-39",817,647,179,171
"RO","40-44",994,798,241,233
"RO","45-49",1057,869,286,281
"RO","5-9",41,27,3,3
"RO","50-54",1203,972,384,374
"RO","55-59",1301,1047,466,449
"RO","60-64",1192,960,522,505
"RO","65-69",1054,858,495,472
"RO","70-74",929,750,483,458
"RO","75-79",610,452,343,316
"RO","80-84",378,283,206,198
"RO","85-89",270,193,150,139
"RO","90+",143,104,95,85
"RR","0-4",26,6,7,6
"RR","10-14",9,2,2,1
"RR","15-19",24,16,3,3
"RR","20-24",56,44,11,8
"RR","25-29",120,112,21,19
"RR","30-34",137,130,33,33
"RR","35-39",230,207,59,51
"RR","40-44",318,291,79,74
"RR","45-49",272,254,90,87
"RR","5-9",6,2,2,2
"RR","50-54",283,265,114,110
"RR","55-59",301,271,118,110
