"agegroup";"ag_10.x";"ag_10.y";"total"
1;1845352;53;1845405
2;5310767;17642;5328409
3;6630530;105666;6736196
4;6772831;560991;7333822
5;6247110;517210;6764320
6;5451671;79853;5531524
7;4193451;20837;4214288
8;2178717;8860;2187577
9;866257;2753;869010
10;167114;495;167609
