"agegroup";"ag_10.x";"ag_10.y";"total"
1;438893;94;438987
2;1558932;6988;1565920
3;2124553;47705;2172258
4;2169838;76867;2246705
5;2029135;219718;2248853
6;1945578;49249;1994827
7;1627299;7176;1634475
8;849743;2705;852448
9;345745;1408;347153
10;70636;344;70980
