"vacina";"ag_10";"perc_total"
"AZ";2414068;32,96
"Coronavac";1942849;26,53
"Janssen";75914;1,04
"Pend_Ident";159704;2,18
"Pfizer";2616701;35,73
"Pfizer_ped";114483;1,56
"Pfizer_ped_abx_5";2;0
