"agegroup";"ag_10.x";"ag_10.y";"total"
1;414846;122;414968
2;1568822;4960;1573782
3;1827976;26220;1854196
4;1978369;46714;2025083
5;1763518;181416;1944934
6;1482888;47118;1530006
7;1090153;7064;1097217
8;613905;2563;616468
9;260262;949;261211
10;63001;239;63240
