"agegroup";"ag_10.x";"ag_10.y";"total"
1;330047;83;330130
2;1068963;4365;1073328
3;1265046;23997;1289043
4;1281183;47363;1328546
5;1135978;106170;1242148
6;963209;33771;996980
7;699282;5732;705014
8;391539;2406;393945
9;155965;954;156919
10;32509;247;32756
