"vacina";"ag_10";"perc_total"
"AZ";12479570;31,44
"Coronavac";14535445;36,62
"Janssen";84826;0,21
"Pend_Ident";453391;1,14
"Pfizer";11851579;29,86
"Pfizer_ped";288473;0,73
"Pfizer_ped_abx_5";45;0
