"vacina";"ag_10";"perc_total"
"AZ";3644295;32,89
"Coronavac";3053906;27,56
"Janssen";89641;0,81
"Pend_Ident";225280;2,03
"Pfizer";3880111;35,02
"Pfizer_ped";186081;1,68
"Pfizer_ped_abx_5";7;0
