"vacina";"ag_10";"perc_total"
"AZ";4484889;34,06
"Coronavac";3448569;26,19
"Janssen";61622;0,47
"Pend_Ident";208227;1,58
"Pfizer";4804359;36,48
"Pfizer_ped";161561;1,23
"Pfizer_ped_abx_5";2;0
