"vacina";"ag_10";"perc_total"
"AZ";1178799;43,08
"Coronavac";689212;25,19
"Janssen";4429;0,16
"Pend_Ident";31702;1,16
"Pfizer";787950;28,8
"Pfizer_ped";44238;1,62
